,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage,MasVnrArea,GarageYrBlt,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,GarageType,GarageFinish,GarageQual,GarageCond,SalePrice
0,9,3,348,1,3,3,0,4,0,5,2,2,0,5,6,4,103,53,1,0,12,12,2,4,2,435,0,158,547,1,0,1,575,300,0,419,1,0,2,1,3,1,2,10,6,0,2,226,2,0,150,0,0,0,0,0,4,2,8,4,71,79,89,1,2,3,3,2,5,4,1,1,4,4,208500
1,4,3,512,1,3,3,0,2,0,24,1,2,0,2,5,7,76,26,1,0,8,8,1,4,1,556,0,291,163,1,0,1,183,0,0,150,0,1,2,0,3,1,1,8,6,1,2,155,2,134,0,0,0,0,0,0,7,1,8,4,87,0,62,2,2,3,1,0,5,4,1,1,4,4,181500
2,9,3,703,1,0,3,0,4,0,5,2,2,0,5,6,4,101,52,1,0,12,12,2,4,2,293,0,410,582,1,0,1,619,307,0,454,1,0,2,1,3,1,2,8,6,1,2,264,2,0,129,0,0,0,0,0,11,2,8,4,74,55,87,1,2,3,2,2,5,4,1,1,4,4,223500
3,10,3,504,1,0,3,0,0,0,6,2,2,0,5,6,4,18,20,1,0,13,14,1,4,0,129,0,471,486,1,2,1,649,250,0,424,1,0,1,0,3,1,2,9,6,1,3,285,2,0,121,77,0,0,0,0,4,0,8,0,66,0,84,2,3,1,3,0,5,4,5,2,4,4,140000
4,9,3,880,1,0,3,0,2,0,15,2,2,0,5,7,4,100,50,1,0,12,12,2,4,2,403,0,446,95,1,0,1,106,13,0,592,1,0,2,1,4,1,2,11,6,1,3,354,2,69,171,0,0,0,0,0,3,2,8,4,91,174,86,1,2,3,0,2,5,4,1,1,4,4,250000
5,8,3,873,1,0,3,0,4,0,11,2,2,0,0,4,4,93,45,1,0,12,12,1,4,5,447,0,527,509,1,0,1,535,153,0,206,1,0,1,1,1,1,1,7,6,0,2,172,2,181,113,0,14,0,0,18,1,3,8,4,92,0,79,2,2,3,3,2,5,4,1,2,4,4,143000
7,9,3,604,1,0,3,0,0,0,14,4,2,0,5,6,5,73,23,1,0,6,6,1,4,1,512,62,242,71,1,0,1,77,363,0,566,1,0,2,1,3,1,1,9,6,2,2,176,2,98,74,62,0,0,0,8,2,3,8,4,77,108,59,3,2,3,2,0,1,4,1,1,4,4,200000
8,8,4,162,1,3,3,0,4,0,17,0,2,0,0,6,4,34,0,1,0,3,14,1,4,0,0,0,707,605,1,2,1,15,247,0,449,0,0,2,0,2,2,1,10,2,2,2,161,2,238,0,51,0,0,0,0,6,2,8,0,57,0,19,2,3,3,3,5,5,1,5,2,1,4,129900
9,3,3,246,1,3,3,0,0,0,3,0,0,1,1,4,5,41,0,1,0,8,8,1,4,0,510,0,130,636,1,0,1,55,0,0,37,1,0,1,0,2,2,1,7,6,2,1,15,2,0,125,0,0,0,0,0,0,2,8,4,56,0,27,2,3,3,3,2,5,4,1,1,2,4,118000
10,4,3,692,1,3,3,0,4,0,19,2,2,0,2,4,4,65,15,3,0,6,6,1,4,1,533,0,110,24,1,0,1,26,0,0,16,1,0,1,0,3,1,1,7,6,0,1,97,2,0,0,0,0,0,0,0,4,2,8,4,76,0,51,2,3,3,3,4,5,4,5,2,4,4,129500
